id,account_age_days,followers_count,following_count,post_frequency_per_day,avg_word_count_per_post,avg_hashtags_per_post,avg_sentiment_score,reply_to_post_ratio,urls_per_post_ratio,bio_complexity_score,label
u9458441319076373781,254.0,26.0,3638.0,178.99,43.0,-0.1774587510621897,-1.1755398842967095,1.07,0.87,0.6156480793794601,1
u2401815088772335192,554.0,23593.00863805264,3382.0,0.0,8.0,3.0,0.58,1.31,0.62,0.4739911708102773,1
u3262666648308457633,501.0,41.0,9869.704734737468,0.0,6.0,6.0,-0.8034625707360665,1.01,0.61,0.03,1
u9618085777478996509,1362.4869894375315,1464.0,577.0,40.27192334470492,22.0,1.0,0.08,0.61,0.1554679133350998,0.74,0
u6970540406317266657,475.0,290.0,4912.0,162.58,11.0,1.0,0.08,0.9937821713752614,0.2755589659364083,0.54,1
u7830401969991132760,131.0,20.0,0.0,153.1614140096904,25.0,4.0,1.01,0.68,0.63,0.6,1
u3748416066157339855,346.0,0.0,3791.0,51.51,50.0,0.0,-1.22,1.14,0.7386812759554402,0.52,1
u6331452145643387950,1450.70315790631,4023.0,1219.0,2.0,35.0,0.0,-0.12,0.46,0.11,0.4,0
u8984615740138364339,1458.0,179.0,5058.8155198170325,164.1,4.0,2.0,0.76,1.15,0.75,0.6471220692410298,1
u5736548645072795062,2074.64247913104,15245.0,1218.0,121.58,25.0,1.0303440463364475,0.41,1.39,0.8,0.29,1
u1131736706230600404,978.5941264740012,2362.0,129.0,7.56,11.0,2.0,-0.04,0.8,0.59,0.03,0
u2931878239741058507,824.0,25763.0,8551.0,160.5,5.0,2.0,-0.49,0.98,0.62,0.69,1
u8629699926628379954,1046.0,0.0,4482.0,124.46,10.0,2.0,0.43,1.02,0.9569957880721128,0.21,1
u5605135827802868786,1476.0,3598.0,2119.0,5.21,18.067324107344245,-0.143081998327385,1.22,0.29,0.0513346662127369,0.859069594264518,0
u2602381776919675871,1422.0,4765.0,371.0,-23.096137198629837,12.0,4.111886911984719,-0.7035516497666491,0.68,0.25,0.3427471819652201,0
u6630453197203911525,720.9828486952906,35281.89267832543,0.0,59.14,26.0,2.0,0.23,0.96,0.7945632201015362,0.37,1
u9654194688370056454,625.0,0.0,6265.0,287.0601000000001,48.90757433251653,0.0,0.81,0.6,0.41,0.25,1
u4756772919385158153,3739.0,2724.0,1079.5497323234308,9.69,24.0,0.0,0.79,1.17,0.21,0.47,0
u6019625424317328398,1672.0,4040.0,1161.0,12.36,30.0,1.0,-0.907905456450659,0.89,0.35,0.17,1
u2692371791158427301,0.0,16241.0,6549.0,287.0601000000001,47.0,-0.9210785124602984,1.191221492930154,1.11,0.7615098994919969,0.17,1
u1098709403396489815,2861.1100165385683,9508.149602111322,2356.0,7.16,23.0,2.0,0.1,0.44,0.09,0.6,1
u6991070727111087384,562.0,11397.0,4102.0,155.84,9.0,5.0,-1.9391450966353136,0.65,0.9,0.4874435829173777,1
u4492743917696058949,805.7785317221458,0.0,1875.0,131.97,35.0,7.0,-0.76,0.7663348601076263,0.99,0.236892972764572,1
u2844961222210431003,2056.9934999919838,125.0,2154.0,32.268988539153845,51.0,0.0,2.11,0.93,0.53,0.5442426032200709,1
u5202476144871762559,803.0,1243.0,1051.0,2.9,26.115706405252837,-0.1912617719133583,0.44,0.18,0.18,0.0,0
u6432306727021541097,1996.0,4.0,878.0787130099504,94.65262961316512,20.0,0.0,0.72,0.0,0.38,0.64,0
u4973391851873250162,1758.0,0.0,1824.0,153.55,39.0,8.0,0.7127869616678572,1.82,0.7,0.600160824292482,1
u2434895865528661529,3813.529950834882,3473.0,592.0,7.14,18.0,2.0,0.0,0.35,0.1796288925135523,0.0,0
u6562599176100702694,2718.0,0.0,198.02450299081192,6.74,10.0,0.0,1.03,0.53,0.43,0.3111805862257557,0
u6618797374143164823,2817.0,2349.0,0.0,0.85,17.0,0.0,-0.51,0.44,0.31,0.8751401778971983,0
u1206982508032968796,84.0,0.0,434.1586271541612,35.13,20.0,5.0,1.3760977370058574,0.4492793576990983,0.986455415840319,0.63,1
u5971953665412440001,1020.5468159999876,0.0,0.0,55.42334790720688,15.885055638089677,5.0,-0.1222708482401317,0.9566912414366296,0.42,0.29,1
u6513299542447162913,2768.0,1158.6648613993586,429.0,6.38,-1.3326755260140355,2.0,0.54,0.7720120770336013,0.58,0.41,0
u1179196217278937177,1274.0,3125.0,977.0,7.21,10.412595477645857,3.0,0.51,0.74,0.23,0.7377790201632737,0
u2411367118358737590,-130.2414499650774,4759.0,788.0,39.82836428848916,28.0,1.0,0.19,0.76,0.09,0.47,0
u5794348800375958039,1987.0,-4642.922326604175,7424.0,61.99605943308574,42.0,0.592346379792362,-1.21,0.96,0.78,0.5015419760124301,1
u4582054391262489603,1283.920293599006,180.0,7327.0,124.26,7.0,2.0,-0.41,0.98,0.92,0.71,1
u4477790898436443856,2370.0,3396.0,671.2719558887705,7.75,11.0,0.0,-1.0611190668128148,0.33,0.0107937098722344,0.8,0
u2108343754427924537,1298.9997271845052,6675.308543741758,337.7188563333402,84.38,28.0,6.0,1.29,0.7759965061447043,0.71,0.12,1
u2380187455794138425,1207.0,-2137.820261144126,3059.0,2.05,24.0,1.0,0.09,0.54,0.27,1.0,0
u9888854330193754807,1465.0,672.4268253837336,2663.0,12.260825891639335,26.0,3.0,0.31,0.51,0.28,0.52,0
u8900123483283325878,241.0,0.0,3962.0,148.25,39.0,4.0,0.77,0.79,0.95,0.59,1
u5534681073270366348,3451.4185745203217,6100.0,1240.0,-20.07526659009387,22.0,1.942389083136887,-0.66,0.62,0.25,0.74,0
u7691403028465201006,159.12759611175355,149.0,5727.066117912415,188.44,52.0,0.8407943555135748,0.3388852153613566,0.7,0.86,0.18,1
u1390148589522304314,304.0,20010.0,2821.0,135.0105693435534,48.87934637801871,4.0,0.6636001785702506,0.93,0.53,0.086986808517669,1
u7560063155428075566,1035.0,22259.0,7692.0,208.93,48.03779359269979,3.0,0.71,1.64,0.7978542672238467,0.58,1
u7099102869373800697,1469.177424136479,0.0,3635.915926664772,8.79,10.0,1.0,-0.1551265930153421,1.41,0.55,0.12,1
u8282400340487138301,1658.0,73.0,0.0,12.659352569346698,30.0,0.0,0.1398088658117412,1.84,0.73,0.53,1
u5118141294710051598,297.976537601108,22610.0,4667.0,148.0465283417942,55.13755679210932,5.0,0.24,1.04,0.24,0.75,1
u6396200337047135370,0.0,117.0,2195.0,84.32,53.0,2.8701367896286416,0.66,0.6530869992537037,0.7,0.1,1
u8675369616486873601,1761.8821295641103,-4548.766961976589,271.0,11.32,13.878557879622267,2.8295142527423733,1.47,0.75,0.2,0.9390379021601114,0
u9736753369655858283,2451.0,3408.0,706.0,6.45,22.0,2.0,0.8,0.21,0.03,0.1578246944035931,0
u8455967302425707691,403.6379545441308,25992.73593782459,7329.0,45.61,6.0,6.0,-0.15,1.83,0.6717286757603473,0.27,1
u3960716120667823295,62.0,34752.74658782608,9119.726844063827,31.07,6.0,3.0,0.5,0.05,0.92,0.29,1
u7199499551711245113,0.0,78.0,-131.15362921025624,86.16,6.002110778079292,0.0,0.54,1.1,0.81,0.46,1
u2014308617691867675,1828.088530058488,16.0,578.0,22.68,36.0,4.0,-0.25,1.19,0.6070275279253873,0.25,1
u8265676461448501140,1047.3790261035397,1974.0,530.8690090791465,8.62,31.0,2.0,0.28,0.97,0.37,0.42,0
u9296936722396351275,1417.0,-1976.9104561184415,3048.9219686434653,179.72354299268517,0.0,2.0,0.27,0.67,0.7,0.2470073357698798,1
u9527668706963491315,1846.1135071362287,0.0,6236.0,106.26,3.0,7.261557520566916,0.2203196459718632,0.1,0.78,0.36,0
u2134157662922180512,656.0,4508.0,0.0,230.8227744715555,37.0,3.658938637751916,-0.24,1.12,0.33,0.69,1
u4284452257084210690,1043.0,45.0,2880.0,287.0601000000001,9.22992063723862,5.0,-0.77,0.26,0.7510831600980703,0.7,1
u9883354690625706249,2120.8690505930067,1751.0,1344.4263922141308,0.0,21.0,3.226911728520317,-0.05,0.79,0.45,0.9,0
u8835293775506028805,2609.0,2767.0,1326.0,-30.519354868329053,21.91095596340688,1.0,0.8,0.82,0.18,0.22,0
u5553317058127826809,366.0,4393.759112114394,0.0,11.2,18.0,2.0,1.1,0.0,0.58,0.8641107404861758,0
u4099680515079805655,1623.0318766144385,18770.337762464394,2.0,119.71,12.0,3.61758819969599,1.17,0.366832812676063,0.42,0.47,1
u4447074302682268382,979.0,157.0,4203.0,116.13,15.0,10.933508414536089,0.42,0.1,0.68,0.47,1
u8324989246128364798,2574.0,4000.41660172284,1116.0,33.46,9.0,2.0,1.78,0.5,0.8181754720905202,0.94,0
u1437576945348739776,1834.0,690.0,414.0,2.82,14.0,2.0,0.03,0.46,0.56,0.48,0
u4602735340693939685,2471.0,3690.750742079593,465.0,4.83,10.0,-0.8562999113170153,0.34,0.21,0.4,0.42,0
u8497016738157019011,2022.0,0.0,0.0,4.35,24.0,1.0,-0.0440704667778831,0.55,0.82,0.68,0
u1321703734356736678,638.0,79.0,5998.0,219.7,50.873814051491145,3.0,-0.92,0.74,0.71,0.33,1
u3899063897417134647,1043.0,589.0,1237.0,6.27,28.0,0.0,-0.09,0.3657231417408494,0.28,0.76,0
u7789843262505977630,588.0,2824.0,7427.000730131676,150.31,25.959877363680487,3.0,1.302656070015532,1.06,0.48,0.22,1
u5471593978761231392,2000.0,4230.0,142.0,7.99,0.0,0.0,0.6189304503415016,0.13,0.35,0.42,0
u4788088111391876302,1593.0,35584.02500000002,2075.0,186.0630745330639,12.52571359461626,6.190574403012646,0.74,0.82,0.75,0.42,1
u5866712510521833257,785.0,2453.0,0.0,5.44,18.0,2.0,-0.31,0.55,0.16,1.02,0
u3791483657830092838,727.3509933253754,947.0097447323463,1987.0,4.7,16.0,1.0,-0.1603208299493381,1.0,0.08,0.66,0
u9520098329952946915,917.0,55.0,4175.084260575786,115.91,-0.6911716951029714,1.0,1.17,1.09,0.74,0.2726694041594195,1
u3787477543025742820,380.0795305364648,11472.0,7759.646200453127,0.15,32.0,0.0,1.01,1.11,0.35,0.53,1
u7883787601345904355,2141.0,-562.5474747895926,0.0,4.46,7.0,2.74659304960994,0.8,0.68,0.27,0.25,0
u8751810923615909953,2223.0,6141.753283079381,1417.0,0.0,24.0,0.1049382701436126,0.52,0.21,0.41,0.36,0
u5626833167404448341,964.827095009858,291.0,4053.0,26.15,6.0,2.0,0.7,0.44,0.92,0.33,1
u2979807557851294446,1179.0,354.0,7886.0,187.95,37.0,5.0,-0.05,0.82,0.790218906944009,0.35,1
u7478905808401018491,1087.0,0.0,442.6577978404356,6.22,10.0,1.0,0.07,0.93,0.16,0.6580648159285637,0
u8764491225598851714,1079.0,17940.0,5903.0,250.979281560472,43.0,5.0,0.77,0.6384724497238299,0.99,0.46,1
u8925655505012678933,254.0,25562.0,6549.0,88.29,4.0,8.0,0.79,1.07,0.67,0.5,1
u5598083624031903757,2691.0,2942.0,92.0,0.0,16.0,0.0,-0.5088388011395102,0.88,0.46,0.73,0
u7608710079076560128,166.8823563589927,84.0,5091.0,197.15,3.0,3.0,1.76,1.6065048195490192,0.42,0.81,1
u5839658460804410882,886.0,129.0,6136.0,0.0,50.0,4.0,1.23109179549843,0.88,0.62,0.4,1
u7877102904308080695,3703.0,975.0,2525.0,-12.88466627071937,18.95589653483657,2.0190048145202177,0.81,0.0,0.52,0.37,0
u1916454504728049996,2408.0,1064.0,0.0,-43.09796314488032,14.0,0.0,0.21,0.91,0.25,0.57,0
u3698046243184302631,3088.0,5345.0,942.0,15.441358464599864,13.0,0.0,-1.0,0.13,0.17,1.14,0
u7030618932606580317,1554.0,559.0,2020.0,-11.194735120410792,3.0,-0.0048838449424959,1.02,0.81,0.2429201554540279,0.47,0
u6817567555527080838,741.0,227.0,8562.011340852969,0.0,33.0,2.635022174150881,-1.39,0.96,0.61,0.3761577515378931,1
u1895505068400626187,5.0,11117.0,1456.9917432427785,141.81,38.0,5.0,0.9739179076171496,1.806676074020131,0.7984350668743233,0.07,1
u2446787526914074720,3205.952942116182,10610.156113061425,1632.0,3.57,9.0,0.0,-0.43,0.73,0.3993973960464012,0.72,0
u3032066086778741133,1080.0,62.0,9104.470527815974,0.0,48.76910750491642,8.0,-0.15,1.54,0.45,0.2124049436169086,1
u2788608641741165201,704.0,1561.0,2059.0,1.54,23.0,1.5303191823797744,-0.34,0.58,0.1,0.13,0
u9783051709356705367,0.0,15939.0,2841.501463558997,161.06,29.14779565734316,7.0,-0.56,0.0,0.74,0.42,1
u6106506587122680317,481.0,318.0,743.0,142.24,54.0,0.8795619779858417,0.2,0.47,0.9,0.45,1
u9075512772962861980,633.0,18889.0,6743.0,169.57596331663817,34.0,0.0,-0.34,0.86,0.35,0.31,1
u6644580086528319910,1626.0,1223.0,1436.0,1.71,0.0,2.0,-0.31,0.283010013360564,0.73,0.94,0
u3405195835492480322,2842.0914084563365,4422.0,1087.0,4.71,14.73303149812481,-0.1668369413165957,0.54,0.74,0.37,0.0,0
u9359854696952315364,2102.0,1575.0,916.0,9.74,17.0,2.0,0.57,1.06,0.19,0.65,0
u5125329397336128463,2924.0,-346.1569099808182,376.0,-7.09173928562243,28.0,1.644111271145467,-0.76,0.62,0.14,0.08,0
u5755401515491058478,176.0,13687.0,4417.0,-32.110592374120166,9.0,4.0,2.06,0.3794784565499704,0.9078915209528906,0.2967141950725674,1
u5829529227652525807,1700.351719137503,3958.0,313.0,14.36,28.0,3.0,-0.16,0.64,0.19,0.91,0
u9978826744528241110,608.0,0.0,7828.0,0.0,5.0,5.0,-0.02,0.84,0.91,0.1071154999030718,1
u7812699149843685312,1781.0,4849.0,2116.0,6.37,30.0,1.0,-1.08,0.3425690806974057,0.376450972762074,0.0141262856395183,1
u5294221998309185047,78.0,5080.0,-798.5147048924546,69.80025013961401,8.0,-0.3375267944903578,-0.02,0.84,0.5238202627372228,0.4540514670243184,0
u2502680131652199918,2041.0,2666.0,1731.0,0.0,28.882476377707565,0.0,0.25,0.37,0.49,0.25,0
u8390024983161608892,0.0,265.0,2920.9259223708527,119.25,4.0,1.0,0.16,0.79,0.7959596759342058,0.35,1
u7578996735282586712,573.0,186.0,7061.0,116.4,39.0,5.0,-0.2714297421025806,1.36,0.81,0.3,1
u8577968632597549371,537.0,11059.0,4656.0,57.47,25.0,6.0,-0.98,1.02,0.82,0.253161371678272,1
u8366027044246161491,1439.0,11371.0,2869.0,169.52,4.0,3.0,-0.78,0.3684706176580798,0.71,0.1298384603812713,1
u3217014081740995826,1311.6559847217695,1077.0,2663.076389332016,5.64,15.0,1.0,0.39,0.06,0.16,0.64,0
u9863572551117979402,1773.0,22359.0,4233.0,103.07,32.0,2.0,1.0730332872622457,0.19,0.5,0.47,1
u1128184668756719095,1094.0,12708.0,4609.0,262.83,34.0,0.0,0.7789196790146601,1.27,0.99,0.31,1
u5526687319012181169,1445.0,112.0,888.0,45.42,35.0,7.0,0.89,0.1966742673699026,0.66,0.79,1
u7100949026644216988,2586.0,3158.0,1385.0,3.45,14.175838217912508,1.0,1.1441829260653644,0.1510806532270023,0.17,0.63,0
u4941986354065071637,1677.0,9584.0,3486.0260074061066,0.0,41.0,1.0,0.54,1.09,0.69,0.7013723393877956,1
u8027949230828807193,3482.0,2458.0,1041.0,0.0,8.0,1.0,0.22,0.2712053229900381,0.26,0.95,0
u3814755813485315544,1105.0,0.0,5491.0,64.06,31.0,1.0,-1.14,1.03,0.87,0.62,0
u1196065126345431540,1221.5120023663785,11482.0,3417.0,-10.536346036752242,41.0,4.0,0.69,0.75,0.9,0.64,1
u1748851494244589843,2461.0,4058.0,462.0,6.93,3.0,0.0,0.96,0.59,0.17,0.83,0
u3569543228976305161,1830.0,0.0,4945.0,0.0,11.412614467351686,1.0,0.233377497160025,1.19,0.93,0.7476262180610994,1
u9486740311408183929,1834.3337537921675,0.0,1141.0,5.75,28.0,1.0,0.2004673937613432,0.84,0.31,0.33,0
u4285179981427081109,2083.0,3420.1824739032563,1574.8635215025736,-2.808855290362249,21.0,3.0,0.41,0.83,0.29,1.0055740451231368,1
u2357899618421374685,2606.0,1681.0,2871.549470819752,5.782736190841852,25.0,1.0,0.39,0.61,0.18,0.9764548666580768,0
u8840522370631534979,469.0,31898.0,2824.0,85.70752953356448,27.0,3.300594102587514,0.1,0.0,0.77,0.42,1
u1560476490693009139,1921.1117591359605,6684.0,2551.0,3.84,12.0,0.0,0.52,0.11,0.01,0.48,1
u6667294207039808110,3334.0,6300.0,709.0,0.05,9.0,2.0,-0.14,0.030360212911634,0.14,0.38,0
u7215219988390852916,1703.0,0.0,1986.0,8.11,22.0,1.0144640856412577,0.45,0.0,0.42,1.08,0
u5364824871014507934,1969.0,2703.0,1230.0,9.08,23.0,0.0,0.18,0.4343299214677117,0.25,0.46,0
u2493626276814954094,675.0,27092.0,3554.0,197.94,6.0,1.0,-1.19,1.79,0.92,0.85,1
u1351649346396622013,2325.0,3797.0,156.0,114.24,29.00041089997998,1.0,0.97,0.3562526550142842,0.43,0.7435169257150962,0
u9386384142136460881,86.0,0.0,2975.0,207.17,47.0,4.0,1.23,0.89,0.86,0.66,1
u3468310310670949426,2878.0,3577.0,2048.0,11.73,11.0,1.0,-0.08,0.48,0.45,0.7795990865407425,0
u2414102230459514492,87.0,23810.0,9869.704734737468,120.47499920256156,8.425404827216552,4.667792107548615,0.43,0.523905702839484,0.64,0.06,1
u4241092085515655159,1705.0,4919.0,796.0,-23.437971497338765,19.0,0.0,-0.42,0.74,0.12,0.81,0
u9184642917859533289,2878.0,1714.0,396.0,40.61724655045892,13.0,2.0,-0.89,0.9,0.21,0.32,0
u6973349526947053159,1012.0,74.0,2480.0,140.76067829046707,7.0,3.0,-0.07,0.83,0.38,0.72,1
u5836826776194569159,1512.92221765844,3459.0,2990.0,8.79,6.0,-0.0628485529236909,0.9,0.45,0.13,0.5384057607993311,0
u9970878741423490709,1678.0,2979.0,772.0,11.38,24.28785876168217,2.5077135535565858,0.93,0.67,0.24,0.976166055905925,0
u7270992599272850141,591.0,7568.0,3777.0,25.81,2.0,4.831662292408364,0.46,1.06,0.72,0.1178158927601642,1
u9311785889418986636,2772.0,4941.0,1061.0,1.56,21.0,2.0,1.1538367740445314,0.72,0.06,0.74,0
u3701075136820749966,3880.0,1976.0,2402.8176559649605,14.689173745873532,29.0,1.0,0.66,0.98,0.71,0.38,0
u3735327920114586858,2575.0,4732.0,1719.0,5.23,10.0,2.0,-0.05,0.61,0.21,0.0,0
u1388795328510569707,998.0,2906.0,2195.1745525968217,8.91,12.0,3.0,0.24,1.16,0.41,0.4551090080321554,0
u8143432343624476745,882.6793916975142,272.0,1588.0,-0.2701348865395959,16.0,3.0,0.2204358361403878,0.91,0.6729959175478631,0.83,1
u5780178004532523130,2038.3864796156292,6891.0,486.0,1.33,3.0,4.0,-0.1845499098505083,0.71,0.63,0.64,0
u2291144648933559086,0.0,0.0,4357.0,110.91,10.0,1.0,-0.92,0.39,0.75,0.5,0
u2344411809597171577,1752.0,1055.3152768564464,1081.0,-29.87481738457084,19.0,0.0,0.12,0.16,0.14,0.29,0
u9187462095018248885,0.0,348.0,2031.0,23.34,7.0,3.0,-0.41,0.13,0.97,0.33,0
u8302011242125964401,719.0,12700.0,2127.0,73.63,31.0,8.0,0.55,0.89,0.52,0.33,1
u6837040102196638624,305.0,3109.0,2143.0,0.74,21.0,3.0,-1.34,0.74,0.13,0.53,0
u5798126055045977390,506.0,170.0,5973.0,0.0,34.0,9.0,0.58,0.75,0.71,0.45,1
u3253937262899149269,573.0,0.0,5175.0,0.0,6.0,0.0,0.0,1.07,0.6915460734925833,0.25,1
u7423674288126905297,1420.0,3944.0,2550.0,-20.94000631768879,21.652917360755865,3.0,-0.32,0.8975054346739658,0.38,0.54,0
u9695782279004592251,312.0,158.0,3899.636256185764,168.18953125071175,38.0,1.0,-0.7,0.1,0.84,0.72,1
u6338541082157946041,919.0,9939.64900303078,0.0,115.87788821354312,47.0,4.0,-0.23,0.92,0.67,0.31,1
u7036987519404210357,2060.0,837.7871690646277,196.0,0.0,21.17657179326485,1.0,0.17,0.43,0.28,0.35,0
u6875353749382055956,965.0,3152.0,918.0,1.46,21.0,0.0,-0.17,0.57,0.18,0.17,0
u3509707050524249929,1149.0,15830.0,4484.0,86.11,9.0,0.0,0.68,1.27,0.66,0.33,1
u5201013410213302819,2381.0,3230.038529797437,128.0,15.56518358308734,14.0,2.0,0.1992258668056818,0.75,0.63,1.03,0
u7422350095004965530,1225.0,2300.5936657785137,2378.458947664957,187.53,38.0,3.0,0.82,0.75,0.48,0.96944462995518,1
u3385381882115918505,2008.0,1721.0,0.0,3.09,8.0,2.0,0.8347424709618382,0.92,0.23,0.4,0
u4928239417138086364,655.0,10811.0,2604.0,247.63368672652163,54.0,7.0,1.77,0.89,0.9,0.69,1
u9979390245007572413,906.7419553597464,0.0,1286.0,11.79,16.0,2.0,0.37,0.65799785136073,0.29,0.65,0
u3451613565046141704,1796.39168311839,110.0,612.611913890998,230.92,10.0,3.0,-0.06,0.59,0.38,0.21,1
u3915719030460635977,1889.0,35584.02500000002,2481.0,0.0,39.0,0.0174374294554166,-0.99,0.13,0.57,0.2692367161455797,1
u1799209222412643612,1262.0,0.0,1456.0,-43.09796314488032,28.0,0.0,0.5147250841866539,0.2,0.1582643934325894,0.78,0
u5003770908423448878,918.0,3051.0,1627.8358588103497,7.78,11.0,0.0,0.66,0.29,0.21,0.8,0
u3689824504033525668,0.0,27.0,4833.0,99.69,8.325369069461008,2.0374734173938487,-0.4371593733407644,0.88,0.72,0.53,1
u8730630362397422224,1239.0,1980.0,466.0,4.57,13.0,0.0,0.37,0.24,0.05,0.78,0
u3465188511467190322,1312.0,-261.7369454168709,9869.704734737468,83.49,0.0,1.9362767731787167,-0.17,0.81,0.82,0.3479178361833818,1
u8269207003281297650,2549.0,9159.0,6352.515985619497,19.05,6.0,5.0,-0.07,0.65,0.7,0.4435777287929928,1
u1649896059861756637,906.0,6141.0,3379.0,138.06,35.01163116657926,6.57991265069412,0.47,1.55,0.39,0.17,1
u8277292969131656921,869.1239772315088,16883.665492583397,4662.0,287.0601000000001,7.0,0.0,-0.32,0.78,0.8,0.08,1
u7876970747774040093,2102.754444408328,8018.830014452161,1407.0,5.62,33.21352820087628,0.0,-0.0234259688363434,0.9,0.5,0.23,0
u1513602527590350759,281.0,21442.0,869.0,131.33,59.0,2.607186751740381,1.21,0.78,0.84,0.58,1
u8778363975721680015,1630.0,5963.0,1408.1560568512105,6.03,14.0,2.639080902756359,-0.03,0.13,0.23,0.28,0
u1726108458422620047,2592.0,5092.0,1561.0,7.97,15.0,0.4166306451242916,-0.3709896514333961,0.29,0.15,1.11,0
u7568991448301198374,592.1978920699923,4502.965439296882,368.0,5.48,38.06192060240578,3.0,0.04,0.85,0.1,0.63,0
u1039199319198171262,1599.0,29358.166858522483,3687.0,99.82,42.0,6.0,0.35,0.88,0.7072668631835319,0.4812704597309505,1
u1663966133242495361,554.0,0.0,1651.5124481610094,160.6,35.70477913500903,6.0,0.36,0.46,0.74,0.26,1
u3868411756088666665,3040.553985754565,116.0,5147.0,25.10270196908884,61.0,0.0,0.98,1.09,0.48,0.5631979782615317,1
u8458983621804028187,2439.0,1938.0,0.0,2.88,15.959509662867664,1.0,0.91,0.01,0.13,0.9208495386666948,0
u9457921070247456444,191.0,0.0,2417.0,133.12,3.0,9.0,-1.52,1.52,0.72,0.04,1
u6110472000486124525,1357.0,11984.0,5420.0,88.96281576306583,43.84410939917328,7.0,0.3662203095630713,0.55,0.76,0.67,1
u7506348089038496634,1771.0,0.0,295.0,11.888289046328032,21.0,0.0,0.2,0.57,0.56,0.43,0
u5395816438014437701,664.0,0.0,6521.0,149.77,37.0,6.0,-0.42,1.23,0.77,0.26,1
u2390143257783069192,1355.0,2939.0,1028.0,8.57,11.0,2.0,-0.74,0.58,0.32,1.1,0
u9552416582148195354,2053.0,4522.0,324.0,0.0,25.0,3.0,-0.47,0.21,0.35,0.98,0
u5375760053315483183,868.0,18907.0,3513.0,105.75,35.0,1.0,-1.36,0.52,0.9025890656917586,0.240103643753809,1
u7685293779079169854,1311.0,3814.0,337.0,4.75,12.0,0.0,0.12,0.0,0.64,0.14,0
u9095036366131910597,0.0,3254.0,1350.3163897626987,3.12,28.0,1.0,-0.47,0.18,0.48,0.73,0
u2375087458798473139,893.0,133.0,5374.0,0.0,61.0,8.0,-0.57,1.1,0.67,0.73,1
u9386974128603989074,1433.0,35584.02500000002,754.5588944489975,37.44,10.0,5.0,-0.44,0.67,0.91,0.41,1
u2109052775600900400,184.0,25685.0,7009.0,115.89,10.0,6.0,-1.85,1.5496842054678244,0.3,0.18,1
u8639630814272934015,3232.820923342543,2477.0,1747.1475731619062,0.1284779566249794,16.0,2.0,0.04,1.14,0.15,0.77,0
u9338493395414951319,0.0,80.0,6087.477050873151,134.38,8.0,3.0,-0.1,1.82,0.3436975475860313,0.28,1
