id,label,account_age_days,followers_count,following_count,post_frequency_per_day,avg_word_count_per_post,avg_hashtags_per_post,avg_sentiment_score,reply_to_post_ratio,urls_per_post_ratio,bio_complexity_score
u4504210894617719057,human,3508,3243,1196,4.8,13,2,0.76,0.54,0.03,0.91
u4311000352010168215,human,4827,10,2581,9.0,22,1,-0.64,0.43,0.31,0.53
u4172431589140685843,human,2256,2153,-839,7.23,12,1,-0.09,0.32,0.11,0.57
u3439774329912543747,human,4058,1933,636,2.47,19,0,-0.12,0.54,0.02,0.43
u1400759557860619647,bot,471,37281,9208,148.45,7,6,1.0,0.07,0.79,1.0
u5237446567370404816,bot,751,74,831,69.6,7,5,-1.0,0.01,0.87,0.27
u2151318126898855557,human,3023,2238,1249,3.92,26,2,-0.11,0.4,0.13,0.57
u9506673322251918668,human,4776,6422,730,6.43,14,0,0.3,0.31,0.03,1.0
u1726803524325187859,human,2683,2738,1852,3.06,27,0,0.45,0.35,0.38,0.83
u3704092307918063857,bot,225,17998,1509,426.91,8,6,-1.0,0.82,0.76,0.09
u6798178739033726258,human,1305,-1873,3221,8.5,18,1,-0.61,0.34,0.35,0.87
u9166850865409773434,bot,308,20666,-3698,240.74,49,3,-1.0,0.04,0.65,1.0
u4335494386281140929,bot,981,75,5005,403.22,7,5,1.0,0.06,0.55,1.0
u2773549186211207615,bot,742,10,9406,416.91,8,5,-1.0,0.0,0.75,0.15
u1641533053211955696,bot,898,29862,3480,214.31,7,5,-1.0,0.0,0.56,1.0
u7099077637550581145,bot,648,62,2831,440.74,33,4,-1.0,0.84,0.92,1.0
u8130296919575202446,human,1279,5829,545,6.55,22,1,0.59,0.47,0.07,0.98
u8888913547867799345,human,3603,1037,306,3.44,19,3,0.05,0.4,0.13,0.83
u8991901255055716088,human,4472,2182,362,9.08,17,0,0.43,0.31,0.29,0.79
u4506045623077649104,human,3008,6591,647,7.06,25,0,0.12,0.39,0.12,0.92
u5181971900251588409,human,4396,2457,243,7.6,13,0,0.28,0.54,0.2,0.82
u8693310826810980143,bot,223,93,6025,446.42,31,3,1.0,0.95,0.81,1.0
u2500219244697461825,human,4226,3024,1355,2.75,20,1,-0.25,0.47,0.52,0.98
u4276793867839745544,human,4678,6956,1584,6.4,14,1,-0.42,0.53,0.07,0.95
u7181274954292674734,bot,553,62,-2284,50.09,9,8,-1.0,0.07,0.83,1.0
u7473149855255013509,human,1314,2771,3214,1.74,16,1,0.75,0.37,0.11,0.66
u7304614435198113865,bot,27,26077,8870,97.17,8,3,-1.0,0.81,0.51,1.0
u1658571918376805803,human,4453,3540,2408,5.85,24,0,-0.08,0.33,0.24,0.73
u6856640982517285491,bot,638,42179,2668,232.12,8,11,-1.0,0.98,0.96,0.08
u5926570769079582209,human,1398,2458,2292,6.68,17,2,0.05,0.42,0.4,0.95
u3257982254735691220,human,1015,2330,516,6.36,14,4,-1.01,0.36,0.64,0.85
u5263597925018681071,bot,870,53,3738,238.49,33,5,-1.0,0.82,0.67,1.0
u3489829209256754679,bot,426,11237,4080,431.57,9,3,-1.0,0.86,0.62,0.26
u9535227093834884838,bot,23,76,6540,331.43,37,4,1.0,0.01,0.79,0.05
u7347173737306457640,bot,627,34644,3839,251.62,9,9,1.0,0.86,0.85,1.0
u3025592422697026105,bot,360,82,5953,98.01,36,5,1.0,0.9,0.75,0.2
u3990980314085646639,bot,673,24885,2289,176.26,5,5,-1.0,0.99,0.94,0.12
u8086441943164855461,bot,216,14406,5145,319.28,5,5,-1.0,0.84,0.67,1.0
u1515936514587749945,bot,912,26966,6064,292.19,47,6,-1.0,0.05,0.68,0.05
u8579791085629793529,human,3534,6370,1875,1.15,21,3,-0.02,0.4,0.1,0.69
u8425236935745452195,human,2646,1156,1500,3.45,19,1,-0.04,0.49,0.19,0.84
u4700092117582972924,bot,651,36531,7785,343.07,8,6,-1.0,0.08,0.87,1.0
u1610482117117913758,human,3185,-893,3401,7.95,19,1,-0.48,0.33,0.27,0.79
u9422194129764808876,human,4128,3995,2996,7.79,17,1,0.02,0.37,0.3,0.48
u6231312634919421924,human,3774,4181,2742,7.26,18,0,-0.25,0.5,0.5,0.53
u7621590421612634350,human,4403,8648,1058,7.26,12,1,-0.67,0.47,0.1,0.98
u2961133707096931031,bot,433,83,5286,92.56,48,7,-1.0,0.93,0.59,0.24
u5604595648712070165,human,2808,5589,338,7.33,30,1,0.63,0.5,0.09,0.55
u9159761827656901072,bot,183,74,4433,174.05,33,5,-1.0,0.06,0.45,0.21
u6929261974496987749,human,2812,4437,1988,8.18,23,2,-0.5,0.53,0.17,0.5
u2317757820207583401,human,4645,2403,2558,4.68,21,2,-0.38,0.36,0.47,0.43
u2287862428927733726,human,1951,1806,3140,8.37,16,2,0.18,0.58,0.02,0.63
u7871310559210568440,bot,622,31,6661,228.69,45,4,1.0,0.88,0.49,1.0
u5971188063552524923,human,1594,1183,2242,7.63,13,0,0.14,0.48,0.01,0.6
u7889986275378661564,bot,952,7,3881,304.38,8,9,-1.0,0.91,0.69,1.0
u4951604536009256313,human,4841,669,630,3.26,25,1,0.22,0.59,0.17,0.56
u6382141273297107061,bot,87,44,3873,323.53,5,7,-1.0,0.02,0.94,1.0
u4338827910277438615,human,4062,5918,515,5.57,16,1,0.16,0.44,0.43,0.57
u2275885125495594992,bot,739,93,3306,171.84,38,7,1.0,0.08,0.65,1.0
u5551880211631722664,bot,410,12529,5597,446.35,45,7,1.0,0.92,0.79,1.0
u7970860036377925336,human,1310,2060,2307,9.74,26,1,0.02,0.48,0.01,0.75
u8942272537785782677,bot,748,36354,3951,69.44,39,9,1.0,0.88,0.34,1.0
u2409712372730427189,human,1599,3877,1348,6.75,13,3,-0.2,0.43,0.27,0.92
u2475573469350481348,human,4052,3076,-1158,7.3,16,1,0.41,0.57,0.11,0.49
u7276331413508044428,human,1027,6910,-509,6.23,21,2,-0.63,0.43,0.15,0.66
u6500902416978193640,human,2025,2889,-24,4.78,18,3,0.33,0.55,0.05,0.77
u4548852045832477200,human,4486,3650,2251,7.07,17,2,0.54,0.54,0.02,0.55
u6496100617597340962,human,3421,3761,1256,7.34,16,4,-0.22,0.3,0.12,0.98
u5316998219059023769,human,4321,12516,1072,5.29,22,2,0.27,0.43,0.11,0.93
u3318885925221042601,human,4204,7179,2570,4.77,24,1,-0.03,0.34,0.0,0.87
u6102608262069000121,human,1832,2708,1077,6.93,20,0,-0.92,0.35,0.38,0.77
u9692390486492319469,human,4867,2788,847,3.28,21,0,-0.42,0.31,0.22,0.8
u7274506946702764944,human,1846,99,1846,7.29,21,2,0.19,0.37,0.04,0.78
u2056553320732244409,bot,339,21,-3469,369.78,42,3,1.0,0.92,0.79,1.0
u9160733075610046999,bot,593,56,5190,197.04,5,4,1.0,0.93,0.69,0.13
u7925625318178218804,human,2142,2149,2325,1.83,17,2,-0.54,0.5,0.57,0.73
u8089072019749119944,human,1980,4097,439,8.64,22,0,-0.12,0.48,0.2,0.89
u4137564970730263187,human,1061,1800,639,7.33,16,1,0.13,0.38,0.12,1.0
u3707060867162091241,human,2963,1597,2937,6.48,22,1,-0.92,0.51,0.16,0.52
u2458747800996857498,human,2211,586,2475,5.6,27,1,-0.68,0.35,0.1,0.5
u1029932745726049443,human,4510,4726,2857,4.19,14,3,-0.35,0.45,0.3,0.83
u7660123708883814348,human,2241,4274,1978,7.28,20,1,-0.38,0.36,0.1,0.79
u7637882564004013549,human,2347,5888,1141,6.57,17,0,0.72,0.37,0.12,0.56
u9964085502276630242,bot,758,40679,1374,386.3,31,8,-1.0,0.92,0.83,1.0
u8027860859815094623,human,1462,3320,892,3.66,15,1,-0.59,0.38,0.3,0.41
u5682536959350677812,bot,924,23922,5740,381.02,30,3,1.0,0.82,0.59,0.07
u1981466611638729327,human,4625,7482,3422,5.07,20,0,0.03,0.34,0.1,0.53
u6767376333275024918,human,4152,-1533,2410,5.65,24,0,0.11,0.55,0.41,0.71
u8763029534829895848,bot,319,86,7684,223.31,5,4,1.0,0.8,0.43,0.26
u5682363633627443623,human,2547,3205,-442,2.19,21,2,0.2,0.39,0.11,0.82
u2834631103129155783,bot,290,65,5524,468.41,5,9,-1.0,0.01,0.93,0.07
u4448746546208733565,human,3120,4542,2555,9.25,19,0,0.29,0.39,0.02,0.93
u2490026868105275489,human,1902,-340,1164,5.16,13,1,-0.43,0.46,0.05,0.77
u9794482922889723490,bot,711,39945,4236,270.97,5,3,1.0,0.97,0.9,0.23
u9507952680504922255,human,1341,3028,2012,8.78,22,1,-1.41,0.39,0.25,0.44
u9471607274610442782,bot,242,40739,4181,99.97,6,12,-1.0,0.05,0.49,0.2
u6524288752612375249,human,3112,6157,2690,3.37,21,0,0.11,0.5,0.12,0.73
u5506592233125569595,bot,968,12768,10718,335.61,7,2,1.0,0.06,0.48,1.0
u2031797641622351234,bot,649,84,3997,187.47,40,7,1.0,0.83,0.72,0.3
u4347906644487530545,human,4280,3184,715,3.5,19,1,0.42,0.42,0.4,0.86
u8441184182814378041,human,1290,-356,2007,2.8,17,0,0.08,0.38,0.08,0.92
u3208557787917139711,bot,370,12859,9348,122.32,45,8,1.0,0.08,0.57,1.0
u3221648267342786330,human,3029,7125,2256,2.17,21,3,0.03,0.41,0.13,0.7
u6232944112327802040,human,2439,1693,1736,3.13,11,1,0.5,0.52,0.32,0.87
u1726405567981766518,human,2197,1883,2047,6.8,21,2,-0.99,0.5,0.35,0.68
u7750656040887214697,bot,652,31320,5537,444.95,48,3,-1.0,0.94,0.66,1.0
u8526486054349168353,bot,895,12,5922,472.14,8,4,-1.0,0.88,0.67,0.15
u5913347151422476997,bot,900,11109,4426,157.53,42,6,-1.0,0.02,0.5,0.22
u2159936014124169652,bot,458,9,4923,175.09,7,5,1.0,0.09,0.5,1.0
u7085127283480085341,bot,887,18507,7470,453.96,5,7,1.0,0.81,0.66,0.28
u9733137625552788254,bot,713,19409,4423,348.88,37,5,-1.0,0.03,0.8,1.0
u2523027381554507184,bot,157,2,6073,122.05,6,4,-1.0,0.95,0.55,1.0
u5866931600935010371,bot,898,19944,6638,185.65,39,7,1.0,0.09,0.63,0.15
u6594841363789628826,bot,792,64,4905,406.2,39,4,-1.0,0.09,0.77,1.0
u9894677847911875743,human,3279,7091,2631,8.14,12,1,0.07,0.48,0.09,0.54
u9567714764287404065,bot,390,15402,3975,206.55,6,2,-1.0,0.87,0.95,0.13
u7966091885870796539,human,4586,6585,2297,3.3,22,0,0.92,0.37,0.1,0.78
u7362905876480443178,human,3065,4519,306,2.21,20,1,0.27,0.4,0.05,0.93
u7575793611932082911,human,2106,3294,2537,7.48,26,1,0.11,0.45,0.63,0.75
u4680054411503903642,bot,239,36,-1134,64.45,5,6,1.0,0.05,0.72,1.0
u7195218732202204094,bot,662,47,4577,148.89,5,2,1.0,0.84,0.77,1.0
u4444196228061882510,bot,50,48056,-1957,413.22,8,6,-1.0,0.06,0.79,1.0
u9297475380045370273,bot,526,76,6128,189.3,6,2,-1.0,0.89,0.39,1.0
u5164224675506805172,human,2344,2708,1934,5.74,23,1,-0.25,0.41,0.36,0.63
u3286525750074548631,bot,448,18679,3937,281.19,7,8,1.0,0.83,0.67,1.0
u1590534699672519631,bot,801,48217,-412,238.12,36,5,1.0,0.86,0.43,1.0
u1194006818128447131,bot,681,46639,1055,418.58,9,10,1.0,0.97,0.79,0.12
u6109024271550342754,bot,294,25,6970,200.3,35,6,-1.0,0.95,0.42,1.0
u6427402121125874835,bot,615,86,4234,139.76,6,4,1.0,0.06,0.4,0.02
u1066323826528496310,human,1173,-3921,2120,8.45,7,0,0.04,0.55,0.17,0.89
u7528680379936447062,bot,192,46,2877,379.23,43,5,1.0,0.06,0.76,1.0
u1543014642089195190,human,4177,1602,101,3.83,15,0,-0.25,0.31,0.12,0.65
u1621658253215657428,bot,742,23732,6148,75.0,35,8,-1.0,0.05,0.82,1.0
u1289733399550728998,human,1517,1042,1884,8.21,18,1,0.34,0.51,0.0,0.78
u4047664945317613761,bot,872,23,2673,81.91,9,8,-1.0,0.87,0.77,0.23
u5742253196328809747,bot,720,94,5002,125.2,6,6,-1.0,0.05,0.82,1.0
u3568499420235423533,human,3917,5315,889,7.64,19,1,0.09,0.53,0.2,0.78
u5477158518784401575,human,4420,1537,1892,2.8,24,2,0.23,0.43,0.12,0.51
u5973555194632091962,human,2101,3884,2005,8.18,13,1,0.29,0.56,0.27,0.41
u7671749786688761967,bot,878,49,5367,429.52,37,6,1.0,0.84,0.8,0.17
u9138547350118194294,human,1447,3715,281,4.79,34,1,0.75,0.57,0.07,0.97
u6314614391611580762,bot,532,45693,8771,187.01,39,6,1.0,0.96,0.64,1.0
u3241253935836887033,bot,848,31,3555,251.39,6,7,1.0,0.04,0.82,1.0
u5362405364023218591,human,1555,1054,360,4.18,19,0,0.77,0.51,0.07,0.97
u4754465495130578845,human,3872,7045,1536,9.94,22,1,0.24,0.43,0.35,0.87
u1870001950823724127,bot,795,36928,3016,388.29,35,2,1.0,0.0,0.84,0.27
u7078043091272496427,bot,775,67,3358,392.24,8,8,1.0,0.08,0.68,1.0
u4267818305575542483,human,4399,3448,2440,1.18,19,1,0.12,0.3,0.35,0.63
u4791749267059615249,human,3792,5297,2699,9.53,14,1,0.11,0.5,0.24,0.91
u8967487686993702323,human,3165,-2343,1183,5.55,22,0,-0.49,0.41,0.04,0.87
u1499640983263426330,bot,621,76,6029,310.72,8,4,-1.0,0.09,0.5,0.22
u7027063043125517923,bot,366,65,5906,156.69,5,5,-1.0,0.03,0.53,0.06
u6959956246339666000,bot,763,4,6388,356.32,6,5,-1.0,0.96,0.47,1.0
u1559053245980469742,bot,573,24,8044,448.28,9,1,-1.0,0.07,0.8,0.15
u7716584848373461050,bot,408,35504,2847,327.88,8,4,1.0,0.02,0.54,1.0
u8384162554200492295,bot,479,26,3937,216.58,32,7,1.0,0.04,0.83,0.1
u2007828935999132254,human,4106,845,1007,1.63,15,1,-0.36,0.44,0.05,0.91
u2767106501927235844,bot,174,46,10042,192.15,9,4,1.0,0.04,0.43,1.0
u5946363004958640111,bot,198,13883,-12,337.37,9,5,-1.0,0.82,0.64,1.0
u2292953494970979965,bot,577,27628,6952,464.95,8,7,1.0,0.84,0.68,1.0
u2692378448292507489,human,2453,4830,3143,8.28,18,1,0.41,0.54,0.16,0.65
u5266990816533068825,bot,666,89,3717,478.99,48,5,1.0,0.81,0.73,1.0
u9065709297447948479,bot,436,98,1319,308.53,31,6,1.0,0.87,0.71,0.29
u1695302883601228412,human,2727,1698,2741,1.59,21,2,0.27,0.57,0.13,0.79
u8452689775761359924,bot,313,13892,7459,238.76,47,6,1.0,0.92,0.92,0.11
u8894901096412438503,bot,817,13677,10436,415.38,42,6,-1.0,0.02,0.3,0.21
u1903048633335815843,bot,479,38512,7787,238.07,6,6,1.0,0.84,0.62,0.18
u7014974962370304856,bot,896,9,3594,395.44,8,6,-1.0,0.07,0.7,0.23
u5986043618575841749,bot,972,25,9339,151.6,42,5,1.0,0.03,0.5,0.23
u1136117155107563376,human,2952,2283,1280,5.88,9,1,0.16,0.59,0.28,0.82
u1860197269680432003,human,4179,1251,1272,5.53,15,0,-0.38,0.33,0.11,0.43
u7950414977729979113,human,3980,4209,1962,5.96,18,1,-0.15,0.47,0.19,0.83
u3180215975365058469,bot,377,41356,5265,295.96,5,5,1.0,0.89,0.86,0.01
u4748508080679378274,bot,183,28840,10144,100.18,31,6,-1.0,0.94,0.67,0.03
u5439747823840459287,bot,326,55,7051,240.85,9,2,1.0,0.08,0.83,0.27
u8974992273672250497,human,2095,2864,2028,7.85,20,3,0.94,0.5,0.06,0.79
u9323566331251823493,bot,173,23,8264,428.06,42,7,1.0,0.1,0.71,1.0
u2518509413151980240,bot,186,34885,9052,198.69,41,2,-1.0,0.93,0.9,0.11
u1019879803218059747,human,1470,3372,3307,1.54,23,1,-0.16,0.57,0.41,0.81
u4601005116112319304,bot,102,12733,1094,425.2,49,5,-1.0,0.0,0.64,0.08
u9545620868630599932,human,2823,5682,2757,8.02,16,0,-0.19,0.41,0.11,0.9
u8241540152638101958,human,4285,6243,143,5.87,16,2,-0.25,0.52,0.01,0.72
u3630959773343509946,human,3230,-1631,153,6.66,17,0,-1.72,0.44,0.46,0.94
u7424922582986405866,bot,660,43243,3284,199.69,7,4,-1.0,0.97,0.76,0.29
u7737722300374893763,bot,764,23494,1089,150.69,43,6,-1.0,0.84,0.8,0.18
u8225234812717761917,bot,738,90,3845,307.69,44,4,1.0,0.89,0.6,0.11
u7104685303661253940,bot,464,1,5652,149.29,8,6,1.0,0.81,0.69,0.18
u5488751533376772810,bot,568,35366,5152,310.89,45,5,1.0,0.03,0.65,0.11
u2751498684859728855,bot,944,36071,6235,452.81,49,6,-1.0,0.07,0.9,1.0
u3007936339306416978,bot,900,23875,6934,397.35,6,5,-1.0,0.9,0.84,1.0
u1539413171727586886,human,1143,2879,287,8.55,15,0,1.24,0.43,0.04,0.65
u7785977695135410368,bot,235,45,2803,240.57,8,4,1.0,0.91,0.89,1.0
u1562234332594130448,human,4265,2693,965,8.11,26,2,0.01,0.49,0.18,0.96
u3892493888172020635,bot,591,37,6295,334.8,47,5,1.0,0.96,0.83,0.0
u1462481395779002923,bot,958,36826,4627,365.79,34,4,-1.0,0.07,0.97,0.23
u5397597865624250810,bot,33,82,651,113.54,9,5,1.0,0.87,0.68,0.11
u9479849510006869348,human,2290,-2008,2315,4.74,22,2,1.04,0.3,0.28,0.91
u5898773992775342538,human,1460,5555,347,8.88,17,1,0.25,0.39,0.47,0.52
u1524621459789546213,human,1527,2637,1113,6.99,15,1,-0.59,0.56,0.29,0.73
u5683891161603349282,human,1997,2635,494,7.62,19,2,0.2,0.34,0.1,0.96
u8852249048445759315,bot,931,40,-1029,122.66,35,8,-1.0,0.0,0.81,0.04
u1631997721075661206,human,3663,1585,1136,7.29,23,0,-0.08,0.37,0.06,0.9
u1626828317375608961,bot,220,48,5460,338.38,37,6,1.0,0.98,0.82,0.11
u8948879140782521036,bot,547,46,7203,176.33,47,8,-1.0,0.83,0.72,1.0
u4724172152031040150,human,2447,1710,902,5.66,19,2,-0.25,0.55,0.06,0.48
u9684691350705202058,human,3444,1290,544,7.36,25,0,0.31,0.41,0.1,0.4
u6254328286395883161,human,1641,3900,3078,4.79,18,0,0.65,0.43,0.11,0.67
u6339585811111737364,human,1107,2903,815,2.88,19,0,-0.41,0.46,0.25,0.67
u1366552161069459542,human,2219,2293,3810,7.42,16,0,-0.36,0.36,0.2,0.56
u1756163466528541029,human,3814,1131,1666,9.01,12,0,0.49,0.49,0.18,0.92
u7063197263320208099,human,2944,4812,1391,6.74,21,2,-0.22,0.43,0.52,0.83
u6213298209097223180,human,4450,6092,3050,3.4,23,0,-0.21,0.35,0.25,0.73
u3917996793123116693,bot,864,84,8307,416.26,35,3,1.0,0.04,0.79,1.0
u3405139019274447061,human,1386,3845,2288,9.61,24,2,0.0,0.41,0.24,0.77
u7177131835542885560,human,4512,3721,-127,3.24,26,2,-0.61,0.42,0.05,0.62
u3897834697047955597,bot,597,60,6335,200.59,6,6,1.0,0.08,0.9,0.0
u3449861475651192285,human,1997,4387,2187,5.3,20,1,-0.52,0.55,0.15,0.41
u2207139051737594022,bot,64,17,1205,102.26,49,9,1.0,0.1,0.88,1.0
u6953693924981990396,bot,945,55,1559,234.86,48,8,1.0,0.06,0.54,0.24
u5217152359719803842,human,4987,6044,229,9.17,21,2,-0.78,0.43,0.05,0.75
u9568681707902926090,bot,715,38,6669,248.08,37,4,1.0,0.06,0.53,0.24
u9630625514823495922,bot,372,65,4754,126.04,30,4,1.0,0.96,0.34,1.0
u1085919932009820035,bot,977,97,9468,146.57,46,8,1.0,0.82,0.58,1.0
u6729182866673382183,bot,649,20418,2151,364.75,33,6,1.0,0.93,0.58,0.01
u6192699792540218818,human,3956,8137,291,7.69,19,1,-0.01,0.55,0.24,0.94
u1922164297734303053,bot,822,45,8529,272.2,9,3,1.0,0.05,0.76,0.09
u5958802135983666912,human,1237,1330,-91,9.47,21,1,0.48,0.3,0.56,0.71
u5665962749423077355,bot,424,38,2035,214.24,8,8,-1.0,0.03,0.54,0.08
u2221696181401562287,bot,39,18,-957,437.07,8,8,1.0,0.91,0.8,1.0
u4219038324042372670,bot,71,77,3072,442.13,42,7,-1.0,0.09,0.6,1.0
u1634487830134935681,bot,218,37,3271,225.01,36,2,-1.0,0.01,0.6,0.25
u3253126043233147587,human,4605,3389,-219,9.71,18,2,0.33,0.55,0.14,0.91
u3628544764405437394,human,4290,1564,1909,6.3,15,0,0.45,0.54,0.19,0.56
u5041539281043462328,bot,166,31305,1292,127.67,5,3,1.0,0.97,0.74,0.08
u6010301344044568370,bot,344,22464,4119,354.87,42,2,-1.0,0.87,0.66,1.0
u3790228131093098819,human,4169,3167,890,9.95,13,0,-0.64,0.5,0.23,0.7
u8444183041317752409,bot,874,16363,2175,358.62,31,3,1.0,0.84,0.69,0.18
u5878616825638354406,bot,302,23682,6630,244.22,7,2,1.0,0.07,0.57,0.07
u7159950775809257968,bot,338,15684,2749,73.22,32,2,1.0,0.08,0.71,1.0
u6115303214072052890,human,1024,5024,-632,8.56,21,0,0.29,0.39,0.05,0.55
u9593932619427878378,human,1167,1020,1060,4.39,14,0,0.18,0.38,0.05,0.61
u1955416839349065671,human,3971,4290,2515,4.79,16,1,-0.81,0.58,0.02,0.74
u9099291696939775854,bot,53,19923,4598,456.2,8,3,-1.0,1.0,0.79,0.12
u3439267607654754063,bot,471,41548,4872,201.34,8,3,1.0,0.85,0.6,1.0
u9206151343015771052,human,1502,4741,639,5.28,17,1,0.05,0.44,0.21,0.86
u7847585301001844137,human,3594,970,1454,5.46,26,0,-0.64,0.42,0.45,0.49
u2433753909341458583,human,3789,1025,746,2.63,15,2,0.59,0.34,0.25,0.72
u3598742930813918425,human,1714,1545,1307,3.15,26,0,0.26,0.35,0.0,0.63
u2942715647332327595,bot,508,25295,5521,65.08,6,6,1.0,0.09,0.79,0.22
u4162512468986916519,human,3453,6404,488,2.65,20,3,1.97,0.51,0.04,0.44
u7341041789148787723,bot,539,62,3966,104.95,5,5,-1.0,0.1,0.58,0.05
u8866732217418738473,human,2200,-721,892,6.74,22,0,-0.02,0.48,0.28,0.58
u5661575775555973862,bot,132,78,8601,110.44,30,2,1.0,0.85,0.85,1.0
u3316184708445138016,human,2966,1210,2588,2.58,16,3,0.12,0.59,0.06,0.6
u9376288749193273799,human,3071,2822,1164,8.44,26,2,0.06,0.44,0.31,0.42
u1468537122666201280,human,1726,3271,886,8.22,16,1,0.05,0.55,0.01,0.99
u6850241410306989897,human,1882,1307,476,6.14,21,2,0.51,0.39,0.26,0.82
u8649386019270129203,bot,409,93,6083,318.41,44,11,1.0,0.01,0.6,1.0
u1406628632687313907,human,1098,2957,3166,7.95,25,1,-0.7,0.43,0.24,0.91
u4076516045149200078,bot,966,3,4669,295.9,9,7,-1.0,0.05,0.98,1.0
u2206598359916745165,bot,394,49009,954,285.57,35,6,-1.0,0.85,0.78,1.0
u2490330696236892189,bot,108,13262,7630,147.76,7,5,1.0,0.81,0.82,0.11
u5075213287439027999,bot,637,18545,9951,389.96,6,12,-1.0,0.81,0.75,1.0
u7508633428873375129,human,3496,2310,1036,3.21,22,1,0.79,0.45,0.08,0.43
u6173452727375422409,bot,890,71,7340,278.22,5,3,1.0,0.99,0.76,0.25
u2031854433932785318,bot,804,35826,516,78.2,6,6,-1.0,0.01,0.86,1.0
u9716556348537646689,bot,188,89,1405,319.03,44,4,-1.0,0.89,0.56,1.0
u7373531033523143344,human,1813,1022,2067,5.79,20,0,0.41,0.48,0.02,0.45
u2374783150880185578,human,4697,1836,950,4.22,26,2,0.61,0.32,0.17,0.72
u1332300930545077819,human,1740,1745,-44,8.0,25,2,0.34,0.39,0.46,0.89
u4405416402203968747,human,4765,4247,978,7.38,18,1,0.49,0.47,0.43,0.58
u6096144523598190800,bot,279,27390,10832,151.02,5,6,-1.0,0.8,0.87,1.0
u4964082788518951287,bot,438,19,4212,246.11,6,4,1.0,0.9,0.76,1.0
u1385803164556739842,human,4641,4776,1799,5.99,24,3,0.76,0.58,0.36,0.57
u4363316550687392999,bot,190,34331,816,470.96,36,7,-1.0,0.06,0.54,0.15
u9606217826197546633,bot,114,74,4085,103.12,34,2,-1.0,0.08,0.77,1.0
u9966927802252045278,bot,547,39,2831,469.75,36,5,1.0,0.85,0.89,0.16
u1367965257992700209,human,1221,5693,2400,1.1,17,2,-0.13,0.44,0.62,0.86
u4300207669576461504,human,3967,4203,1133,5.91,27,1,-0.19,0.41,0.05,0.86
u7290954851233272684,bot,963,80,3405,84.35,9,3,1.0,0.81,0.93,0.19
u7151375019942424135,human,4339,6316,1872,4.08,18,1,0.0,0.57,0.39,0.95
u4262109596844601027,human,3356,4390,1501,1.18,18,1,-0.69,0.58,0.25,0.63
u6164013984205353660,human,2823,4976,162,3.57,26,1,-0.08,0.43,0.16,0.68
u9067800854756239068,human,2433,2315,344,4.77,19,1,-0.47,0.43,0.46,0.86
u9982061130730461503,human,2765,1938,1310,9.19,18,2,-0.29,0.41,0.42,0.73
u7912710884454542378,bot,740,13766,7328,415.15,39,5,-1.0,0.03,0.91,0.14
u9538664142122307261,human,3053,2932,1700,8.44,22,3,-0.61,0.55,0.01,0.71
